Hidden Layers 1,Hidden Layers 2,Batch Size,Weight Decay,Learning Rate,Epochs,Last Train Loss,Last Validation Loss,Last Train Accuracy,Last Validation Accuracy
10,15,32,1e-06,0.13,1500,0.3079392910003662,0.28352200984954834,0.52,0.595
10,15,32,1e-05,0.13,2000,0.4101121723651886,0.23634213209152222,0.685,0.705
10,15,32,1e-06,0.13,2000,0.3632817566394806,0.2564343214035034,0.625,0.61
15,5,16,1e-05,0.1,1500,0.2070106416940689,0.21153999865055084,0.615,0.655
15,5,16,1e-06,0.1,1500,0.21625247597694397,0.2473771870136261,0.585,0.625
15,5,16,1e-05,0.1,2000,0.09665433317422867,0.21940810978412628,0.675,0.66
15,5,16,1e-06,0.1,2000,0.27085551619529724,0.23326259851455688,0.595,0.63
15,5,16,1e-05,0.13,1500,0.24106010794639587,0.24883359670639038,0.525,0.58
15,5,16,1e-06,0.13,1500,0.22887952625751495,0.27168044447898865,0.58,0.535
15,5,16,1e-05,0.13,2000,0.22609475255012512,0.2663514018058777,0.505,0.525
15,5,16,1e-06,0.13,2000,0.27035486698150635,0.24969395995140076,0.515,0.555
15,5,32,1e-05,0.1,1500,0.24185332655906677,0.23644617199897766,0.635,0.63
15,5,32,1e-06,0.1,1500,0.07700814306735992,0.19538825750350952,0.66,0.785
15,5,32,1e-05,0.1,2000,0.1578224003314972,0.20233666896820068,0.645,0.72
15,5,32,1e-06,0.1,2000,0.210900217294693,0.2380596399307251,0.62,0.635
15,5,32,1e-05,0.13,1500,0.2523314654827118,0.2294834703207016,0.575,0.645
15,5,32,1e-06,0.13,1500,0.19921965897083282,0.24946731328964233,0.49,0.54
15,5,32,1e-05,0.13,2000,0.14946135878562927,0.2402539998292923,0.615,0.675
15,5,32,1e-06,0.13,2000,0.2535102367401123,0.25350308418273926,0.515,0.55
15,10,16,1e-05,0.1,1500,0.18063431978225708,0.20865413546562195,0.66,0.685
15,10,16,1e-06,0.1,1500,0.07504891604185104,0.20802797377109528,0.655,0.61
15,10,16,1e-05,0.1,2000,0.23053932189941406,0.2355504184961319,0.62,0.67
15,10,16,1e-06,0.1,2000,0.19503749907016754,0.2692558765411377,0.575,0.6
15,10,16,1e-05,0.13,1500,0.1953650414943695,0.2665174603462219,0.575,0.545
15,10,16,1e-06,0.13,1500,0.30664077401161194,0.26560717821121216,0.545,0.51
15,10,16,1e-05,0.13,2000,0.29090651869773865,0.22832264006137848,0.625,0.715
15,10,16,1e-06,0.13,2000,0.2614782750606537,0.2562895119190216,0.56,0.555
15,10,32,1e-05,0.1,1500,0.20351967215538025,0.21602971851825714,0.665,0.7
15,10,32,1e-06,0.1,1500,0.1464581936597824,0.20893050730228424,0.64,0.67
15,10,32,1e-05,0.1,2000,0.25080376863479614,0.2036912888288498,0.665,0.7
15,10,32,1e-06,0.1,2000,0.18335877358913422,0.22223050892353058,0.63,0.63
15,10,32,1e-05,0.13,1500,0.13895761966705322,0.22727875411510468,0.625,0.635
15,10,32,1e-06,0.13,1500,0.22155959904193878,0.24831955134868622,0.6,0.72
15,10,32,1e-05,0.13,2000,0.32895487546920776,0.23488233983516693,0.615,0.655
15,10,32,1e-06,0.13,2000,0.2747988700866699,0.24372759461402893,0.635,0.695
15,15,16,1e-05,0.1,1500,0.3722681701183319,0.24096563458442688,0.6,0.655
15,15,16,1e-06,0.1,1500,0.20726370811462402,0.26921597123146057,0.63,0.655
15,15,16,1e-05,0.1,2000,0.21721211075782776,0.22245731949806213,0.615,0.63
15,15,16,1e-06,0.1,2000,0.24352014064788818,0.26926666498184204,0.505,0.585
15,15,16,1e-05,0.13,1500,0.5623641610145569,0.2924744784832001,0.525,0.6
